Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Size Left X [px],Pupil Size Left Y [px],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],groupe d'enfants
25397,3105609.783,08:07:45:395,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Information,Separator,Separator,1,1,,,,,,,,,,,,,,,,,,,,,,eye tracking (ballon droite).avi,,,,,,,,,,,,,,,
25421,3106109.41,08:07:45:895,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,1,1,4.0117,4.238,655.4818056714043,342.7137083520215,608.8392214078226,318.3252354189764,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25425,3106266.655,08:07:46:052,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,1,1,3.9301,4.0159,642.4206397555505,316.97620187253403,681.3094247431693,333.2327533429401,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25428,3106325.422,08:07:46:111,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,1,1,3.7839,3.9923,625.5207666256409,293.1733010515778,612.1828536848898,297.503651337194,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25434,3106456.328,08:07:46:242,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,1,1,3.5829,3.6974,598.0012427810553,233.01190727070878,620.1369254094595,284.7530008136682,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25436,3106495.335,08:07:46:281,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.6299,3.6887,628.9947266901684,253.32099529331316,581.4961818723106,283.98150971100654,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25450,3106773.832,08:07:46:559,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.6491,3.8353,598.9511776245803,339.30761028862383,609.3200695737828,314.7265503126768,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25452,3106813.586,08:07:46:599,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.7067,3.6991,601.6823443863445,376.7030078715206,627.3228665269744,377.7995260714461,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25456,3106893.21,08:07:46:678,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.7222,3.835,601.0481950595492,322.58487974805024,678.8995493129902,353.10470116439126,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25458,3106932.946,08:07:46:718,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.7199,3.8516,597.5364083436647,366.44779455659295,590.3199455546068,353.3580513415079,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25460,3106972.7,08:07:46:758,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.6547,3.7358,606.8414538067827,338.6207304413447,559.0780438614859,311.4787843395443,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25464,3107052.319,08:07:46:838,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.5339,3.7824,565.3077153665938,318.9526043012298,635.9310197046593,270.8563569071944,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25466,3107092.073,08:07:46:877,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.593,3.7807,612.8219181801605,301.0766615792506,603.5003279642729,343.7746884437552,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25468,3107131.811,08:07:46:917,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.5625,3.7453,582.6648286971533,301.55359242601236,636.7038371084053,311.15390435625886,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25469,3107170.151,08:07:46:955,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.5863,3.713,606.1025951074029,254.10309135888434,581.784828154886,352.8472240685638,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25472,3107211.426,08:07:46:997,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.6511,3.7124,590.0449365032948,362.9342719808178,652.6437621993912,330.42820034438694,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25473,3107267.61,08:07:47:053,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,2,2,3.5298,3.6447,598.2283500694583,353.1848575599709,583.8572737077617,313.8960321058407,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25477,3107390.444,08:07:47:176,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,,,,,3.5493,3.7266,0.0,5.08307266199041,0.0,0.0,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25485,3107589.319,08:07:47:375,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,3,3,3.8291,3.8153,604.312025159893,300.7104726979186,617.4477850919958,312.1727275773887,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
25487,3107629.187,08:07:47:414,Trial020,20 eye tracking (ballon droite).avi,0.0,52050.422,15,Gainsboro,41.4214,Eye,Fixation,Fixation,3,3,3.8254,3.876,629.2407874649053,328.0106890544276,597.512501457662,334.8153877365699,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,
