Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
57926,2649633.383,12:46:32:000,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Information,Separator,Separator,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,federica final_wmv_3000kbps_720p.avi,,,,,,
57927,2649645.462,12:46:32:012,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.8536,18.8536,3.8423,19.1601,19.1601,3.9903,443.7314959740558,115.77430175252584,458.205726792299,150.42208049694278,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.9299,9.5710,556.3326,-26.3615,8.3503,573.8699,1087.5317,453.3107,832.5938,458.5333,,,,,,,,,,,,,,
57929,2649685.245,12:46:32:052,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,19.1373,19.1373,3.895,19.4739,19.4739,4.0694,492.741171945897,144.91362078004664,523.7354252411786,100.941707520745,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.8839,9.9770,555.6820,-26.7928,8.8289,575.9044,1087.6722,451.1185,832.8696,456.4740,,,,,,,,,,,,,,
57931,2649724.941,12:46:32:092,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.8744,18.8744,3.8389,19.6128,19.6128,4.1006,516.7522230738302,147.89154540687088,526.2118619218508,159.7698486677594,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.9378,10.2530,555.1992,-27.0332,9.0588,576.2362,1088.3679,449.7222,833.1610,454.9817,,,,,,,,,,,,,,
57933,2649764.683,12:46:32:131,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,19.4087,19.4087,3.9433,19.0589,19.0589,3.9701,526.6702331293235,115.70388836066923,535.356439496302,83.36128997948822,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.0674,10.3172,554.7313,-27.0378,9.0222,573.9296,1088.9660,449.5133,834.2985,454.6911,,,,,,,,,,,,,,
57935,2649804.552,12:46:32:171,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,19.4389,19.4389,3.9447,19.4405,19.4405,4.0432,565.2557958465126,116.26655184640366,546.3942331533618,106.84877351272891,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.1884,10.2161,554.0535,-27.3351,9.0100,573.1360,1090.0158,450.0326,835.3901,454.6875,,,,,,,,,,,,,,
57937,2649844.303,12:46:32:211,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.8407,18.8407,3.8203,18.9658,18.9658,3.9406,431.12252166391386,231.53126696232724,491.2437691118279,221.09575397078805,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.2825,9.8360,553.4019,-27.5236,8.5520,572.4045,1090.8423,451.3770,836.5908,456.2412,,,,,,,,,,,,,,
57939,2649884.052,12:46:32:251,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.4853,18.4853,3.7461,18.3851,18.3851,3.8204,452.3638384418334,199.21884993558953,423.36030547071033,302.20525882993616,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.2914,9.5376,552.9689,-27.0346,9.0608,572.2929,1091.5644,453.0973,837.0739,457.3378,,,,,,,,,,,,,,
57941,2649923.806,12:46:32:290,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.8684,18.8684,3.8321,19.0722,19.0722,3.962,693.6834579515418,266.1167615150718,714.4940399896715,310.97766136478884,yeux (1),yeux (1),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.6788,11.0776,554.1031,-28.6339,9.8894,572.2695,1093.1219,449.2496,839.8099,453.3006,,,,,,,,,,,,,,
57943,2649963.558,12:46:32:330,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.8317,18.8317,3.8277,18.5708,18.5708,3.8625,740.9895876972223,219.79569839576027,771.3999284232452,264.40703286658834,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.0889,9.2218,554.8070,-27.0996,7.8887,572.8863,1085.4407,457.9356,831.6175,461.0387,,,,,,,,,,,,,,
57945,2650003.425,12:46:32:370,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Saccade,Saccade,1,1,18.3065,18.3065,3.7254,17.9116,17.9116,3.725,682.8753246277857,415.06100847280675,707.5401959759066,393.48956228720266,visage1,visage1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.1682,9.3058,555.2909,-26.5505,8.9211,572.5995,1085.5473,457.2943,831.4828,460.4501,,,,,,,,,,,,,,
57947,2650043.178,12:46:32:410,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Fixation,Fixation,1,1,17.9178,17.9178,3.6495,17.7611,17.7611,3.6939,700.7980944071792,438.83518775217726,703.9981452059548,429.11729267450477,visage1,visage1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.1635,9.4664,555.6475,-26.4244,9.1081,572.5779,1085.2724,456.6375,830.8932,459.5095,,,,,,,,,,,,,,
57949,2650082.925,12:46:32:450,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Fixation,Fixation,1,1,17.1245,17.1245,3.4924,17.3384,17.3384,3.604,646.6638827288112,347.625820852884,681.7104683741858,385.5154828944981,visage1,visage1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.0626,9.5469,556.0823,-26.3014,9.1973,572.1020,1084.5404,456.3546,830.5009,459.3094,,,,,,,,,,,,,,
57951,2650122.673,12:46:32:489,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48954.234,33,Green,69.4118,Eye,Fixation,Fixation,1,1,16.8303,16.8303,3.4356,16.7615,16.7615,3.4808,647.4536663614809,414.8694614731599,737.854946450395,424.84585332481873,visage1,visage1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.8575,9.5932,556.5197,-26.0040,9.3453,571.3335,1083.1460,455.8796,829.0460,458.2502,,,,,,,,,,,,,,
