Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Diameter Right [mm],Pupil Size Left X [px],Pupil Size Left Y [px],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular
35344,1955769.234,12:32:06:000,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,federica final_wmv_3000kbps_720p.avi,,,,,,
35345,1955790.579,12:32:06:021,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35346,1955834.721,12:32:06:065,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35347,1955878.708,12:32:06:109,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35348,1955922.726,12:32:06:153,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35349,1955966.833,12:32:06:198,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35350,1956010.824,12:32:06:242,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35351,1956054.83,12:32:06:286,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35352,1956212.526,12:32:06:443,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,7.2232,7.2232,3.4650,0.0000,0.0000,3.6255,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.5040,-112.8006,708.0817,0.0000,0.0000,0.0000,866.8012,928.7432,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35353,1956232.441,12:32:06:463,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,14.9068,14.9068,3.8881,16.1353,16.1353,4.2030,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.3708,-112.3527,707.4272,22.5455,-118.8067,706.8743,854.5595,914.4218,632.4758,937.9554,-,-,-,-,-,-,-,-,,,,,,
35354,1956252.253,12:32:06:483,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,14.8568,14.8568,3.8673,15.7551,15.7551,4.1078,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.2467,-111.7972,706.0172,22.6002,-118.5543,707.3586,854.5125,913.2356,632.2208,936.8464,-,-,-,-,-,-,-,-,,,,,,
35355,1956272.119,12:32:06:503,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,14.9586,14.9586,3.8856,15.9814,15.9814,4.1596,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.1580,-111.2271,704.6594,22.6272,-118.0273,706.3182,854.3750,912.0989,632.0649,935.4443,-,-,-,-,-,-,-,-,,,,,,
35356,1956292.035,12:32:06:523,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.2821,15.2821,3.9609,16.3581,16.3581,4.2496,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.0874,-110.7490,703.3637,22.6326,-117.5040,705.2571,854.3759,910.8007,631.9654,934.3213,-,-,-,-,-,-,-,-,,,,,,
35357,1956311.891,12:32:06:543,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,14.8183,14.8183,3.8354,15.7331,15.7331,4.0842,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.0203,-110.2799,702.1217,22.5809,-117.0578,704.4251,854.2886,910.1136,631.8980,933.0343,-,-,-,-,-,-,-,-,,,,,,
35358,1956331.786,12:32:06:563,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,14.3914,14.3914,3.7199,15.7094,15.7094,4.0751,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.9560,-109.8179,700.9253,22.5471,-116.6370,703.9549,854.1492,909.0370,632.1353,931.9336,-,-,-,-,-,-,-,-,,,,,,
35359,1956351.64,12:32:06:582,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,2.0000,2.0000,3.7292,0.0000,0.0000,3.9812,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.8923,-109.3874,700.1285,22.5471,-116.6370,703.9549,852.0000,906.1667,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,
35360,1956371.686,12:32:06:602,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,0.0000,0.0000,3.7292,16.5266,16.5266,4.2771,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.8923,-109.3874,700.1285,23.6559,-113.6060,703.2060,0.0000,0.0000,627.9712,921.3197,-,-,-,-,-,-,-,-,,,,,,
35361,1956391.513,12:32:06:622,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.0194,15.0194,3.8734,15.9182,15.9182,4.1150,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.8189,-108.6002,699.9365,22.5343,-115.2226,701.8283,854.2052,905.2575,631.9283,928.1530,-,-,-,-,-,-,-,-,,,,,,
35362,1956411.414,12:32:06:642,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.2195,15.2195,3.9258,16.3441,16.3441,4.2176,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.7917,-108.2423,700.2641,22.4999,-114.5929,700.8857,853.8206,903.5785,631.8928,926.0403,-,-,-,-,-,-,-,-,,,,,,
35363,1956431.261,12:32:06:662,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.2971,15.2971,3.9433,15.8045,15.8045,4.0714,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.7975,-107.7970,699.9228,22.4665,-113.9778,699.4480,853.7405,902.2597,631.8962,925.2569,-,-,-,-,-,-,-,-,,,,,,
35364,1956451.159,12:32:06:682,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.2131,15.2131,3.9243,15.8222,15.8222,4.0698,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.7592,-107.4424,700.4067,22.4317,-113.4102,698.4609,853.6342,900.6326,631.8602,923.8966,-,-,-,-,-,-,-,-,,,,,,
35365,1956471.018,12:32:06:702,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.3473,15.3473,3.9555,15.9318,15.9318,4.0912,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.7008,-106.9369,699.9658,22.4006,-112.9050,697.4262,853.6009,899.1557,631.7936,922.3077,-,-,-,-,-,-,-,-,,,,,,
35366,1956490.905,12:32:06:722,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.4629,15.4629,3.9814,15.9424,15.9424,4.0862,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.6344,-106.4713,699.4161,22.3625,-112.3541,696.1684,853.4976,897.8831,631.8530,921.1627,-,-,-,-,-,-,-,-,,,,,,
35367,1956510.759,12:32:06:742,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.4262,15.4262,3.9657,15.9910,15.9910,4.0940,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.5588,-105.9530,698.3474,22.3483,-111.8756,695.4636,853.3980,896.4305,631.8537,919.8909,-,-,-,-,-,-,-,-,,,,,,
35368,1956530.628,12:32:06:761,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.5205,15.5205,3.9856,15.6164,15.6164,3.9953,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.4865,-105.4854,697.6939,22.3272,-111.4938,694.8095,853.1809,895.0583,631.7068,918.6951,-,-,-,-,-,-,-,-,,,,,,
35369,1956550.504,12:32:06:781,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.2306,15.2306,3.9139,15.9728,15.9728,4.0802,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.3926,-105.3065,698.0528,22.3085,-111.1268,693.9771,852.6293,894.5947,631.6347,918.5175,-,-,-,-,-,-,-,-,,,,,,
35370,1956570.41,12:32:06:801,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.4566,15.4566,3.9657,15.8160,15.8160,4.0466,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.2482,-102.7676,697.4506,22.4707,-108.9696,695.3546,852.4434,885.8678,631.2388,909.8004,-,-,-,-,-,-,-,-,,,,,,
35371,1956590.251,12:32:06:821,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.5604,15.5604,3.9929,15.9099,15.9099,4.0717,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.1407,-104.6566,697.3335,22.5389,-110.8631,695.3016,852.1032,892.7302,630.9515,916.8138,-,-,-,-,-,-,-,-,,,,,,
35372,1956610.14,12:32:06:841,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.3397,15.3397,3.9388,16.1717,16.1717,4.1329,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.0702,-104.4403,697.6957,22.6015,-110.4859,694.5150,851.6647,892.0040,630.6072,916.0576,-,-,-,-,-,-,-,-,,,,,,
35373,1956630.154,12:32:06:861,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.4760,15.4760,3.9698,16.0639,16.0639,4.1101,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.8823,-104.0814,697.1149,22.7261,-110.4210,695.2765,851.1370,891.0129,630.2635,915.1676,-,-,-,-,-,-,-,-,,,,,,
35374,1956650.0,12:32:06:881,Trial001,Federica Final_WMV_3000Kbps_720p.avi,0.0,48917.516,8,DarkViolet,8.2997,Eye,Blink,Blink,1,1,15.4772,15.4772,3.9733,16.0061,16.0061,4.0912,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.7832,-103.9252,697.7243,22.8387,-110.0362,694.5887,850.5815,890.1447,629.9644,914.1786,-,-,-,-,-,-,-,-,,,,,,
