Unnamed: 0,RecordingTime [ms],Time of Day [h:m:s:ms],Trial,Stimulus,Export Start Trial Time [ms],Export End Trial Time [ms],Participant,Color,Tracking Ratio [%],Category Group,Category Right,Category Left,Index Right,Index Left,Pupil Diameter Right [mm],Pupil Diameter Left [mm],Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],AOI Name Right,AOI Name Left,Gaze Vector Right X,Gaze Vector Right Y,Gaze Vector Right Z,Gaze Vector Left X,Gaze Vector Left Y,Gaze Vector Left Z,Annotation Name,Annotation Description,Annotation Tags,Mouse Position X [px],Mouse Position Y [px],Scroll Direction X,Scroll Direction Y,Content,Pupil Size Right X [px],Pupil Size Right Y [px],Pupil Size Left X [px],Pupil Size Left Y [px],Eye Position Right X [mm],Eye Position Right Y [mm],Eye Position Right Z [mm],Eye Position Left X [mm],Eye Position Left Y [mm],Eye Position Left Z [mm],Pupil Position Right X [px],Pupil Position Right Y [px],Pupil Position Left X [px],Pupil Position Left Y [px],Port Status,AOI Group Right,AOI Scope Right,AOI Order Right,AOI Group Left,AOI Scope Left,AOI Order Binocular,groupe d'enfants
2120,1307343.575,14:32:49:221,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Information,Separator,Separator,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,eye tracking (ballon droite).avi,,,,,,,,,,,,,,,,,,,,,,
2121,1307354.616,14:32:49:232,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Saccade,Saccade,1,1,2.5723,2.7089,447.3866,300.7672,447.3866,300.7672,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2122,1307374.499,14:32:49:252,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Saccade,Saccade,1,1,2.6318,2.7628,442.7957,304.9963,442.7957,304.9963,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2123,1307394.507,14:32:49:272,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Saccade,Saccade,1,1,2.6698,2.7620,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2124,1307414.379,14:32:49:292,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.7121,2.7498,443.5939,288.3635,443.5939,288.3635,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2125,1307434.251,14:32:49:312,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.6636,2.7123,440.9615,312.3539,440.9615,312.3539,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2126,1307454.112,14:32:49:332,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.7574,2.7752,439.1792,290.1993,439.1792,290.1993,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2127,1307474.006,14:32:49:351,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.7302,2.7661,443.1286,327.9079,443.1286,327.9079,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2128,1307493.919,14:32:49:371,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.6972,2.8667,442.3423,343.5466,442.3423,343.5466,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2129,1307533.656,14:32:49:411,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,1,1,2.6279,2.8670,441.0117,335.0360,441.0117,335.0360,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2130,1307553.647,14:32:49:431,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Saccade,Saccade,2,2,2.7143,2.8912,445.6086,279.3309,445.6086,279.3309,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2131,1307573.489,14:32:49:451,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Saccade,Saccade,2,2,2.6900,2.9515,632.5346,478.5540,632.5346,478.5540,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2132,1307593.384,14:32:49:471,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.5202,2.8364,430.9856,263.7384,430.9856,263.7384,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2133,1307653.014,14:32:49:530,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.7781,2.9749,441.0009,292.2291,441.0009,292.2291,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2134,1307672.865,14:32:49:550,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.9018,2.9316,444.7365,310.4077,444.7365,310.4077,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2135,1307692.736,14:32:49:570,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.8097,3.0329,443.7429,295.9778,443.7429,295.9778,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2136,1307732.63,14:32:49:610,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.9118,3.0002,437.2675,312.7288,437.2675,312.7288,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2137,1307752.506,14:32:49:630,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,2,2,2.9099,3.0027,429.7697,312.8351,429.7697,312.8351,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2138,1307772.399,14:32:49:650,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Saccade,2,3,2.9426,3.0106,441.7301,317.6762,441.7301,317.6762,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2139,1307792.256,14:32:49:670,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,-,Saccade,-,3,2.9089,3.0593,427.6611,358.2227,427.6611,358.2227,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2140,1307820.106,14:32:49:698,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,-,Saccade,-,3,2.8370,2.9687,0.0000,0.0000,0.0000,0.0000,-,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2141,1307852.004,14:32:49:729,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,-,Saccade,-,3,2.8370,3.1454,436.8397,388.9732,436.8397,388.9732,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2142,1307871.868,14:32:49:749,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,3,3,2.8879,3.1733,429.7361,307.0101,429.7361,307.0101,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2143,1307891.732,14:32:49:769,Trial020,20 eye tracking (ballon droite).avi,0.0,52042.012,52,Cyan,84.2781,Eye,Fixation,Fixation,3,3,2.8828,2.9805,435.6210,353.0572,435.6210,353.0572,corps,corps,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
